epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1972,1.76806,1.28133,1.1115,0.7743,0.67781,0.76172,0.43949,1.53978,0.85993,1.04709,0.000666018,0.000666018,0.000666018
2,140.465,1.5634,0.82649,1.03767,0.83795,0.74509,0.82899,0.49187,1.46456,0.76574,1.02264,0.00126672,0.00126672,0.00126672
3,199.622,1.52724,0.79681,1.02537,0.85018,0.76193,0.83827,0.50566,1.43904,0.72913,1.01234,0.00180142,0.00180142,0.00180142
4,261.893,1.50342,0.76649,1.01504,0.85784,0.77132,0.84891,0.51593,1.41354,0.71229,1.003,0.001703,0.001703,0.001703
5,321.154,1.47939,0.74487,1.00827,0.86362,0.77413,0.85429,0.52349,1.40423,0.69943,0.99961,0.001604,0.001604,0.001604
6,379.513,1.46687,0.73068,1.00225,0.86693,0.77549,0.85087,0.52309,1.41062,0.68873,1.00208,0.001505,0.001505,0.001505
7,437.718,1.4562,0.72086,0.99872,0.8679,0.78312,0.86256,0.53168,1.39089,0.678,0.99027,0.001406,0.001406,0.001406
8,496.376,1.44118,0.70817,0.9941,0.86878,0.78623,0.86437,0.53097,1.38497,0.6667,0.99277,0.001307,0.001307,0.001307
9,554.086,1.43499,0.7002,0.9909,0.87313,0.79376,0.86739,0.53825,1.37182,0.66045,0.99112,0.001208,0.001208,0.001208
10,612.006,1.42778,0.69189,0.98858,0.87635,0.79373,0.87271,0.54112,1.37242,0.65993,0.9857,0.001109,0.001109,0.001109
11,670.915,1.41643,0.69613,1.00746,0.87869,0.79383,0.87088,0.54523,1.35833,0.65597,0.98608,0.00101,0.00101,0.00101
12,722.942,1.40676,0.68306,1.00193,0.87504,0.80129,0.87314,0.54614,1.3617,0.64628,0.98414,0.000911,0.000911,0.000911
13,775.29,1.39837,0.67415,1.00009,0.88635,0.80057,0.87869,0.54768,1.35626,0.63965,0.98307,0.000812,0.000812,0.000812
14,827.373,1.39354,0.66802,0.997,0.88216,0.80263,0.87826,0.55015,1.35578,0.63545,0.98176,0.000713,0.000713,0.000713
15,879.402,1.38479,0.65942,0.99471,0.88459,0.80288,0.87521,0.5502,1.34958,0.62976,0.98081,0.000614,0.000614,0.000614
16,931.584,1.37825,0.65353,0.99154,0.88632,0.80684,0.88143,0.55529,1.3414,0.62454,0.97621,0.000515,0.000515,0.000515
17,982.995,1.37239,0.64529,0.98777,0.88732,0.81235,0.88416,0.55717,1.33892,0.61842,0.97553,0.000416,0.000416,0.000416
18,1035.49,1.36651,0.64003,0.98667,0.89001,0.81595,0.88681,0.5595,1.33787,0.61376,0.97461,0.000317,0.000317,0.000317
19,1087.62,1.36048,0.63535,0.9852,0.88926,0.81219,0.888,0.56141,1.33325,0.61115,0.97273,0.000218,0.000218,0.000218
20,1140.37,1.35646,0.62929,0.98168,0.89087,0.81601,0.8903,0.56314,1.33049,0.60832,0.9721,0.000119,0.000119,0.000119
